time_s,nal_type,payload_bytes
0.15600000000085856,1,3293
0.31300000000010186,1,5109
0.3279999999995198,7,9
0.3279999999995198,8,6
0.3279999999995198,7,9
0.3279999999995198,8,6
0.35900000000037835,7,9
0.35900000000037835,8,6
0.40600000000085856,5,4413
0.5470000000004802,1,5377
0.6090000000003783,1,2283
0.6880000000001019,7,9
0.6880000000001019,8,6
0.6880000000001019,7,9
0.6880000000001019,8,6
0.7190000000009604,7,9
0.7190000000009604,8,6
0.7659999999996217,5,4134
0.875,1,3975
0.9690000000009604,1,2428
1.0470000000004802,7,9
1.0470000000004802,8,6
1.0470000000004802,7,9
1.0470000000004802,8,6
1.0779999999995198,7,9
1.0779999999995198,8,6
1.125,5,4381
1.2029999999995198,1,2248
1.375,1,4883
1.4060000000008586,7,9
1.4060000000008586,8,6
1.4060000000008586,7,9
1.4060000000008586,8,6
1.4380000000001019,7,9
1.4380000000001019,8,6
1.5470000000004802,5,4343
1.75,1,5284
1.7659999999996217,7,9
1.7659999999996217,8,6
1.7659999999996217,7,9
1.7659999999996217,8,6
1.7970000000004802,7,9
1.7970000000004802,8,6
1.8440000000009604,5,4312
1.9840000000003783,1,4882
2.07799999999952,1,4029
2.1409999999996217,7,9
2.1409999999996217,8,6
2.1409999999996217,7,9
2.1409999999996217,8,6
2.1560000000008586,7,9
2.1560000000008586,8,6
2.20299999999952,5,4318
2.3440000000009604,1,5189
2.42200000000048,1,2746
2.4840000000003783,7,9
2.4840000000003783,8,6
2.4840000000003783,7,9
2.4840000000003783,8,6
2.5159999999996217,7,9
2.5159999999996217,8,6
2.6409999999996217,5,4299
2.7810000000008586,1,2156
2.8440000000009604,7,9
2.8440000000009604,8,6
2.8440000000009604,7,9
2.8440000000009604,8,6
2.875,7,9
2.875,8,6
2.92200000000048,5,4290
3.0,1,2087
3.17200000000048,1,4887
3.20299999999952,7,9
3.20299999999952,8,6
3.20299999999952,7,9
3.20299999999952,8,6
3.2340000000003783,7,9
3.2340000000003783,8,6
3.2810000000008586,5,4242
3.375,1,2267
3.54700000000048,1,5255
3.563000000000102,7,9
3.563000000000102,8,6
3.563000000000102,7,9
3.563000000000102,8,6
3.5940000000009604,7,9
3.5940000000009604,8,6
3.6560000000008586,5,4361
3.7340000000003783,1,2335
3.8909999999996217,1,4805
3.92200000000048,7,9
3.92200000000048,8,6
3.92200000000048,7,9
3.92200000000048,8,6
3.95299999999952,7,9
3.95299999999952,8,6
4.0,5,4229
4.140999999999622,1,5348
4.21900000000096,1,2402
4.281000000000859,7,9
4.281000000000859,8,6
4.281000000000859,7,9
4.281000000000859,8,6
4.313000000000102,7,9
4.313000000000102,8,6
4.359000000000378,5,4175
4.484000000000378,1,4228
4.57799999999952,1,2743
4.640999999999622,7,9
4.640999999999622,8,6
4.640999999999622,7,9
4.640999999999622,8,6
4.688000000000102,7,9
4.688000000000102,8,6
4.734000000000378,5,4574
4.813000000000102,1,2721
4.96900000000096,1,4257
5.0,7,9
5.0,8,6
5.0,7,9
5.0,8,6
5.04700000000048,7,9
5.04700000000048,8,6
5.09400000000096,5,4473
5.21900000000096,1,4459
5.359000000000378,1,5683
5.359000000000378,7,9
5.359000000000378,8,6
5.359000000000378,7,9
5.359000000000378,8,6
5.406000000000859,7,9
5.406000000000859,8,6
5.45299999999952,5,4495
5.563000000000102,1,4333
5.70299999999952,1,5160
5.71900000000096,7,9
5.71900000000096,8,6
5.71900000000096,7,9
5.71900000000096,8,6
5.765999999999622,7,9
5.765999999999622,8,6
5.813000000000102,5,4753
5.95299999999952,1,5734
6.015999999999622,1,2662
6.07799999999952,7,9
6.07799999999952,8,6
6.07799999999952,7,9
6.07799999999952,8,6
6.125,7,9
6.125,8,6
6.17200000000048,5,4535
6.265999999999622,1,3168
6.375,1,3202
6.438000000000102,7,9
6.438000000000102,8,6
6.438000000000102,7,9
6.438000000000102,8,6
6.484000000000378,7,9
