time_s,nal_type,payload_bytes
0.10999999999876309,1,6227
0.10999999999876309,7,9
0.10999999999876309,8,6
0.10999999999876309,7,9
0.10999999999876309,8,6
0.14099999999962165,7,9
0.14099999999962165,8,6
0.26599999999962165,5,5103
0.4529999999995198,1,5614
0.46899999999914144,7,9
0.46899999999914144,8,6
0.46899999999914144,7,9
0.46899999999914144,8,6
0.5,7,9
0.5,8,6
0.5630000000001019,5,5102
0.7029999999995198,1,6096
0.7659999999996217,1,3355
0.8279999999995198,7,9
0.8279999999995198,8,6
0.8279999999995198,7,9
0.8279999999995198,8,6
0.8599999999987631,7,9
0.8599999999987631,8,6
0.9219999999986612,5,5030
1.0630000000001019,1,5836
1.109999999998763,1,2467
1.1880000000001019,7,9
1.1880000000001019,8,6
1.1880000000001019,7,9
1.1880000000001019,8,6
1.2189999999991414,7,9
1.2189999999991414,8,6
1.2819999999992433,5,5078
1.359999999998763,1,3035
1.5319999999992433,1,5814
1.5469999999986612,7,9
1.5469999999986612,8,6
1.5469999999986612,7,9
1.5469999999986612,8,6
1.5779999999995198,7,9
1.5779999999995198,8,6
1.6409999999996217,5,5184
1.7189999999991414,1,2527
1.9069999999992433,1,6111
1.9069999999992433,7,9
1.9069999999992433,8,6
1.9069999999992433,7,9
1.9069999999992433,8,6
1.9380000000001019,7,9
1.9380000000001019,8,6
2.0,5,5044
2.1409999999996217,1,5607
2.234999999998763,1,4648
2.2659999999996217,7,9
2.2659999999996217,8,6
2.2659999999996217,7,9
2.2659999999996217,8,6
2.2969999999986612,7,9
2.313000000000102,8,6
2.359999999998763,5,5039
2.5319999999992433,1,6109
2.625,7,9
2.625,8,6
2.625,7,9
2.625,8,6
2.6719999999986612,7,9
2.6719999999986612,8,6
2.7189999999991414,5,4941
2.813000000000102,1,3694
2.9069999999992433,1,2361
2.984999999998763,7,9
2.984999999998763,8,6
2.984999999998763,7,9
2.984999999998763,8,6
3.0319999999992433,7,9
3.0319999999992433,8,6
3.07799999999952,5,5067
3.1569999999992433,1,2477
3.2969999999986612,1,4315
3.3439999999991414,7,9
3.3439999999991414,8,6
3.3439999999991414,7,9
3.3439999999991414,8,6
3.3909999999996217,7,9
3.3909999999996217,8,6
3.438000000000102,5,5064
3.5159999999996217,1,2446
3.70299999999952,1,6173
3.70299999999952,7,9
3.70299999999952,8,6
3.70299999999952,7,9
3.70299999999952,8,6
3.75,7,9
3.75,8,6
3.859999999998763,5,5016
4.046999999998661,1,5638
4.063000000000102,7,9
4.063000000000102,8,6
4.063000000000102,7,9
4.063000000000102,8,6
4.109999999998763,7,9
4.109999999998763,8,6
4.156999999999243,5,5114
4.296999999998661,1,6096
4.359999999998763,1,3030
4.421999999998661,7,9
4.421999999998661,8,6
4.421999999998661,7,9
4.421999999998661,8,6
4.45299999999952,7,9
4.45299999999952,8,6
4.515999999999622,5,5154
4.593999999999141,1,2857
4.70299999999952,1,2698
4.781999999999243,7,9
4.781999999999243,8,6
4.781999999999243,7,9
4.781999999999243,8,6
4.82799999999952,7,9
4.82799999999952,8,6
4.890999999999622,5,5391
4.968999999999141,1,3676
5.140999999999622,1,6307
5.140999999999622,7,9
5.140999999999622,8,6
5.140999999999622,7,9
5.140999999999622,8,6
5.188000000000102,7,9
5.188000000000102,8,6
5.296999999998661,5,5319
5.5,1,6451
5.5,7,9
5.5,8,6
5.5,7,9
5.5,8,6
5.546999999998661,7,9
5.546999999998661,8,6
5.609999999998763,5,5378
5.734999999998763,1,5618
5.843999999999141,1,5178
5.859999999998763,7,9
5.859999999998763,8,6
5.859999999998763,7,9
5.859999999998763,8,6
5.906999999999243,7,9
5.906999999999243,8,6
5.968999999999141,5,5286
6.109999999998763,1,6415
6.171999999998661,1,3332
6.218999999999141,7,9
6.218999999999141,8,6
6.218999999999141,7,9
6.218999999999141,8,6
6.265999999999622,7,9
6.265999999999622,8,6
6.32799999999952,5,5201
6.406999999999243,1,3182
6.531999999999243,1,3090
6.57799999999952,7,9
6.57799999999952,8,6
6.57799999999952,7,9
6.57799999999952,8,6
6.625,7,9
6.625,8,6
6.688000000000102,5,5209
6.75,1,2648
6.938000000000102,1,5806
6.938000000000102,7,9
6.938000000000102,8,6
6.938000000000102,7,9
6.938000000000102,8,6
6.984999999998763,7,9
6.984999999998763,8,6
7.031999999999243,5,5159
7.125,1,2737
7.296999999998661,1,6212
7.296999999998661,7,9
7.296999999998661,8,6
7.296999999998661,7,9
7.313000000000102,8,6
7.343999999999141,7,9
7.343999999999141,8,6
7.406999999999243,5,5107
7.531999999999243,1,5805
7.625,1,3888
7.656999999999243,7,9
7.656999999999243,8,6
7.656999999999243,7,9
7.656999999999243,8,6
7.70299999999952,7,9
7.70299999999952,8,6
7.765999999999622,5,5126
7.906999999999243,1,6190
7.95299999999952,1,2489
8.015999999999622,7,9
8.015999999999622,8,6
8.015999999999622,7,9
8.015999999999622,8,6
8.063000000000102,7,9
8.063000000000102,8,6
8.125,5,5005
8.25,1,5817
8.313000000000102,1,2411
