time_s,nal_type,payload_bytes
0.0319999999992433,1,104
0.14099999999962165,7,9
0.14099999999962165,8,6
0.14099999999962165,7,9
0.14099999999962165,8,6
0.18800000000010186,7,9
0.18800000000010186,8,6
0.26599999999962165,5,6088
0.26599999999962165,1,364
0.39099999999962165,1,112
0.5,7,9
0.5,8,6
0.5,7,9
0.5,8,6
0.5470000000004802,7,9
0.5470000000004802,8,6
0.6100000000005821,5,5400
0.625,1,466
0.75,1,149
0.8600000000005821,7,9
0.8600000000005821,8,6
0.8600000000005821,7,9
0.8600000000005821,8,6
0.9069999999992433,7,9
0.9069999999992433,8,6
0.9689999999991414,5,5447
1.0,1,473
1.110000000000582,1,157
1.2189999999991414,7,9
1.2189999999991414,8,6
1.2189999999991414,7,9
1.2189999999991414,8,6
1.2659999999996217,7,9
1.2659999999996217,8,6
1.3289999999997235,5,5463
1.3439999999991414,1,518
1.4689999999991414,1,147
1.5789999999997235,7,9
1.5789999999997235,8,6
1.5789999999997235,7,9
1.5789999999997235,8,6
1.625,7,9
1.625,8,6
1.6880000000001019,5,5449
1.7039999999997235,1,506
1.8289999999997235,1,164
1.9380000000001019,7,9
1.9380000000001019,8,6
1.9380000000001019,7,9
1.9380000000001019,8,6
1.985000000000582,7,9
1.985000000000582,8,6
2.04700000000048,5,5421
2.063000000000102,1,536
2.188000000000102,1,179
2.29700000000048,7,9
2.29700000000048,8,6
2.29700000000048,7,9
2.29700000000048,8,6
2.3439999999991414,7,9
2.3439999999991414,8,6
2.4069999999992433,5,5362
2.438000000000102,1,462
2.54700000000048,1,152
2.6569999999992433,7,9
2.6569999999992433,8,6
2.6569999999992433,7,9
2.6569999999992433,8,6
2.7039999999997235,7,9
2.7039999999997235,8,6
2.7659999999996217,5,5407
2.7819999999992433,1,495
2.9069999999992433,1,161
3.0159999999996217,7,9
3.0159999999996217,8,6
3.0159999999996217,7,9
3.0159999999996217,8,6
3.063000000000102,7,9
3.063000000000102,8,6
3.125,5,5423
3.1569999999992433,1,544
3.2659999999996217,1,184
3.375,7,9
3.375,8,6
3.375,7,9
3.375,8,6
3.42200000000048,7,9
3.42200000000048,8,6
3.485000000000582,5,5450
3.5159999999996217,1,460
3.625,1,153
3.735000000000582,7,9
3.735000000000582,8,6
3.735000000000582,7,9
3.735000000000582,8,6
3.7819999999992433,7,9
3.7819999999992433,8,6
3.8439999999991414,5,5438
3.860000000000582,1,496
3.985000000000582,1,131
4.093999999999141,7,9
4.093999999999141,8,6
4.093999999999141,7,9
4.093999999999141,8,6
4.140999999999622,7,9
4.140999999999622,8,6
4.2039999999997235,5,5452
4.235000000000582,1,485
4.343999999999141,1,162
4.4539999999997235,7,9
4.4539999999997235,8,6
4.4539999999997235,7,9
4.4539999999997235,8,6
4.5,7,9
4.5,8,6
4.563000000000102,5,5428
4.593999999999141,1,506
4.7039999999997235,1,131
4.813000000000102,7,9
4.813000000000102,8,6
4.813000000000102,7,9
4.813000000000102,8,6
4.875,7,9
4.875,8,6
4.968999999999141,5,7802
4.968999999999141,1,406
5.063000000000102,1,108
5.17200000000048,7,9
5.17200000000048,8,6
5.17200000000048,7,9
5.17200000000048,8,6
5.235000000000582,7,9
5.235000000000582,8,6
5.29700000000048,5,6145
5.313000000000102,1,351
5.42200000000048,1,136
5.531999999999243,7,9
5.531999999999243,8,6
5.531999999999243,7,9
5.54700000000048,8,6
5.593999999999141,7,9
5.593999999999141,8,6
5.688000000000102,5,7784
5.7039999999997235,1,454
5.781999999999243,1,136
5.906999999999243,7,9
5.906999999999243,8,6
5.906999999999243,7,9
5.906999999999243,8,6
5.9539999999997235,7,9
5.9539999999997235,8,6
6.015999999999622,5,6072
6.031999999999243,1,401
6.140999999999622,1,101
6.265999999999622,7,9
6.265999999999622,8,6
6.265999999999622,7,9
6.265999999999622,8,6
6.3289999999997235,7,9
6.3289999999997235,8,6
6.406999999999243,5,7782
6.42200000000048,1,416
6.5,1,105
6.625,7,9
6.625,8,6
6.625,7,9
6.625,8,6
6.67200000000048,7,9
6.67200000000048,8,6
6.735000000000582,5,6178
6.75,1,387
6.860000000000582,1,97
6.985000000000582,7,9
6.985000000000582,8,6
6.985000000000582,7,9
6.985000000000582,8,6
7.04700000000048,7,9
7.04700000000048,8,6
7.125,5,7740
7.140999999999622,1,413
7.218999999999141,1,128
7.343999999999141,7,9
7.343999999999141,8,6
7.343999999999141,7,9
7.343999999999141,8,6
7.390999999999622,7,9
7.390999999999622,8,6
7.4539999999997235,5,6122
7.468999999999141,1,365
7.5789999999997235,1,89
7.7039999999997235,7,9
7.7039999999997235,8,6
7.7039999999997235,7,9
